url,name
https://job.ozon.ru/vacancy/stazhyor-data-scientist-gruppa-modelirovaniya-i-optimizatsii-skladskikh-protsessov-97934778/?query=null&department=Ozon%20%D0%98%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B5%20%D1%82%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8&level=%D0%A1%D1%82%D0%B0%D0%B6%D0%B5%D1%80,"Вакансия: Стажёр Data scientist, Группа моделирования и оптимизации складских процессов – Москва – работа в Ozon"

https://job.ozon.ru/vacancy/stazher-data-scientist-logika-ranzhirovaniya-96995159/?query=null&department=Ozon%20%D0%98%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B5%20%D1%82%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8&level=%D0%A1%D1%82%D0%B0%D0%B6%D0%B5%D1%80,"Вакансия: Стажер Data Scientist, Логика ранжирования – Санкт-Петербург – работа в Ozon"

https://job.ozon.ru/vacancy/sistemnii-analitik-stazher-97656311/?level=%D0%A1%D1%82%D0%B0%D0%B6%D0%B5%D1%80,Вакансия: Системный аналитик (Стажер) – Москва – работа в Ozon

https://job.ozon.ru/vacancy/stazher-analitik-dannikh-marketplei-otdel-produktovoi-analitiki-97467600/?level=%D0%A1%D1%82%D0%B0%D0%B6%D0%B5%D1%80,"Вакансия: Стажер-аналитик данных, Маркетплей, Отдел продуктовой аналитики – Москва – работа в Ozon"

https://job.ozon.ru/vacancy/stazher-ml-razrabotchik-b2b-ozon-bank-97982077/?level=%D0%A1%D1%82%D0%B0%D0%B6%D0%B5%D1%80,"Вакансия: Стажер ML-разработчик, B2B, Ozon Банк – Москва – работа в Ozon"

https://job.ozon.ru/vacancy/stazher-analitik-napravlenie-razvitiya-biznesa-96746316/?level=%D0%A1%D1%82%D0%B0%D0%B6%D0%B5%D1%80,"Вакансия: Стажер-аналитик, Направление развития бизнеса – Москва – работа в Ozon"

https://job.ozon.ru/vacancy/stazher-data-scientist-logika-ranzhirovaniya-96995159/?level=%D0%A1%D1%82%D0%B0%D0%B6%D0%B5%D1%80,"Вакансия: Стажер Data Scientist, Логика ранжирования – Санкт-Петербург – работа в Ozon"

https://job.ozon.ru/vacancy/stazher-data-scientist-logika-ranzhirovaniya-96995159/?level=%D0%A1%D1%82%D0%B0%D0%B6%D0%B5%D1%80,"Вакансия: Стажер Data Scientist, Логика ранжирования – Санкт-Петербург – работа в Ozon"

https://job.ozon.ru/vacancy/stazher-data-scientist-logika-ranzhirovaniya-96995159/?level=%D0%A1%D1%82%D0%B0%D0%B6%D0%B5%D1%80,"Вакансия: Стажер Data Scientist, Логика ранжирования – Санкт-Петербург – работа в Ozon"

https://job.ozon.ru/vacancy/stazhyor-razrabotchik-golang-napravlenie-razrabotki-bankovskikh-produktov-97903867/?level=%D0%A1%D1%82%D0%B0%D0%B6%D0%B5%D1%80,"Вакансия: Стажёр-разработчик Golang, направление разработки банковских продуктов – Москва – работа в Ozon"

https://job.ozon.ru/vacancy/stazher-data-scientist-logika-ranzhirovaniya-96995159/?level=%D0%A1%D1%82%D0%B0%D0%B6%D0%B5%D1%80,"Вакансия: Стажер Data Scientist, Логика ранжирования – Санкт-Петербург – работа в Ozon"

https://job.mts.ru/jobs/system-analystsistemnyi-analitik-207464929224037880,Вакансия System Analyst/Системный аналитик - Карьера в МТС

https://job.mts.ru/jobs/sistemnyi-analitik-centr-processingovyh-reshenii-207465818093521509,Вакансия Системный аналитик (Центр процессинговых решений) - Карьера в МТС

https://job.mts.ru/jobs/veduschii-analitik-228064040482510307,Вакансия Ведущий аналитик - Карьера в МТС

https://job.mts.ru/internship/stazher-analitik-ppi-253497535681794472,Стажировка Стажер аналитик [PPI] - Карьера в МТС

https://job.mts.ru/jobs/analitik-media-227447798595851806,Вакансия Аналитик [Медиа] - Карьера в МТС

https://job.mtsbank.ru/vacancies/moskva/razrabotchik-web-stazher--1004514,Разработчик Web-стажер — вакансии в МТС Финтех — Москва

https://yandex.ru/jobs/vacancies/%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-%D0%B2-%D0%BA%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D1%83-core-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B8-%D1%8F%D0%BD%D0%B4%D0%B5%D0%BA%D1%81-%D0%B2%D0%B5%D1%80%D1%82%D0%B8%D0%BA%D0%B0%D0%BB%D0%B5%D0%B9-18648,Вакансия «Аналитик в команду core-аналитики Яндекс Вертикалей» в Яндексе — работа в компании Яндекс для IT-специалистов

https://yandex.ru/jobs/vacancies/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%B8%D0%BD%D0%B3%D0%BE%D0%B2%D1%8B%D0%B9-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-%D1%81%D1%82%D0%B0%D0%B6%D1%91%D1%80-18623,Вакансия «Маркетинговый аналитик (стажёр)» в Яндексе — работа в компании Яндекс для IT-специалистов

https://yandex.ru/jobs/vacancies/%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-%D0%BD%D0%B0-%D0%BD%D0%B0%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BF%D0%BE%D0%B8%D1%81%D0%BA%D0%B0-%D0%B8-%D1%80%D0%B5%D0%BA%D0%BE%D0%BC%D0%B5%D0%BD%D0%B4%D0%B0%D1%86%D0%B8%D0%B9-%D0%B2-%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82-18596,Вакансия «Аналитик на направление поиска и рекомендаций в Маркет» в Яндексе — работа в компании Яндекс для IT-специалистов

https://yandex.ru/jobs/vacancies/%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-%D0%B2-%D1%8F%D0%BD%D0%B4%D0%B5%D0%BA%D1%81-id-14775,Вакансия «Продуктовый аналитик в Яндекс ID» в Яндексе — работа в компании Яндекс для IT-специалистов

